epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.61305,1.0081,0.5,1.07326,0.99696,0.99545,0.99491,0.71925,1.00906,0.41414,1.07482,0.000535821,0.000535821,0.000535821
2,8.57387,1.06537,0.51259,1.08226,0.99669,0.99545,0.99493,0.72881,0.97398,0.41756,1.0614,0.00106061,0.00106061,0.00106061
3,11.8443,1.09837,0.5383,1.10581,0.99246,0.99318,0.99498,0.69476,1.06917,0.46965,1.10616,0.00155397,0.00155397,0.00155397
4,14.9819,1.10599,0.54108,1.10334,0.99738,0.99773,0.995,0.71519,1.03368,0.46372,1.09176,0.00152554,0.00152554,0.00152554
5,18.0516,1.07482,0.54669,1.0855,0.99936,0.99807,0.995,0.71598,1.0196,0.4365,1.08277,0.00147839,0.00147839,0.00147839
6,21.2121,1.06462,0.54143,1.08407,0.99376,0.99503,0.995,0.70482,1.07376,0.45856,1.12138,0.00143124,0.00143124,0.00143124
7,24.1496,1.11887,0.57329,1.12255,0.99688,1,0.995,0.72617,1.00534,0.4601,1.08204,0.00138409,0.00138409,0.00138409
8,27.1736,1.06801,0.5303,1.07955,0.99794,1,0.995,0.72757,0.97496,0.42206,1.0631,0.00133693,0.00133693,0.00133693
9,30.2323,1.05155,0.52779,1.09969,0.99931,1,0.995,0.72128,0.99087,0.41543,1.0719,0.00128978,0.00128978,0.00128978
10,34.012,1.0693,0.51268,1.08831,0.99709,0.99773,0.99493,0.7254,0.98684,0.411,1.07052,0.00124263,0.00124263,0.00124263
11,37.7346,1.10596,0.53177,1.09769,0.99933,1,0.995,0.73107,0.98635,0.41966,1.06747,0.00119548,0.00119548,0.00119548
12,42.8541,1.06527,0.51715,1.06519,0.99945,1,0.995,0.72677,0.98485,0.43529,1.05846,0.00114832,0.00114832,0.00114832
13,46.6314,1.05021,0.50821,1.07885,0.99878,1,0.995,0.73424,0.96994,0.39644,1.05664,0.00110117,0.00110117,0.00110117
14,51.624,1.05242,0.49994,1.06477,0.99926,1,0.995,0.74648,0.94001,0.40703,1.04138,0.00105402,0.00105402,0.00105402
15,54.7869,1.00814,0.49648,1.05941,0.9995,1,0.995,0.74663,0.94022,0.38886,1.04333,0.00100687,0.00100687,0.00100687
16,57.9673,1.01794,0.47916,1.07138,0.99951,1,0.995,0.74683,0.92252,0.3772,1.03245,0.000959716,0.000959716,0.000959716
17,60.9824,1.01238,0.484,1.08591,0.99962,1,0.995,0.73901,0.96261,0.38968,1.04937,0.000912563,0.000912563,0.000912563
18,63.8359,1.04081,0.49059,1.0802,0.99956,1,0.995,0.74423,0.94357,0.38326,1.04227,0.000865411,0.000865411,0.000865411
19,66.69,1.01503,0.4778,1.06266,0.99967,1,0.995,0.75493,0.91814,0.36593,1.03109,0.000818259,0.000818259,0.000818259
20,69.6139,1.00981,0.46352,1.05882,0.99949,1,0.995,0.75601,0.91381,0.36303,1.02966,0.000771107,0.000771107,0.000771107
21,72.6307,0.97994,0.45704,1.03739,0.99956,1,0.995,0.75733,0.90132,0.36832,1.02508,0.000723954,0.000723954,0.000723954
22,75.7863,0.97225,0.44676,1.03209,0.99967,1,0.995,0.76711,0.88041,0.35372,1.01112,0.000676802,0.000676802,0.000676802
23,78.7254,0.97929,0.44005,1.04913,0.99967,1,0.995,0.76132,0.8933,0.3607,1.02127,0.00062965,0.00062965,0.00062965
24,81.651,0.9518,0.43929,1.04824,0.99957,1,0.995,0.76826,0.86464,0.34778,1.00901,0.000582497,0.000582497,0.000582497
25,84.6321,0.96812,0.451,1.05341,0.99946,1,0.995,0.76508,0.87945,0.35488,1.012,0.000535345,0.000535345,0.000535345
26,99.9459,0.9304,0.40955,1.06967,0.99951,1,0.995,0.76265,0.88065,0.35668,1.01392,0.000488193,0.000488193,0.000488193
27,102.865,0.93326,0.40369,1.05576,0.99959,1,0.995,0.76599,0.86872,0.36127,1.00973,0.000441041,0.000441041,0.000441041
28,105.759,0.91279,0.39064,1.04791,0.99956,1,0.995,0.76497,0.87574,0.35516,1.01099,0.000393888,0.000393888,0.000393888
29,108.563,0.89953,0.38981,1.05298,0.9995,1,0.995,0.76921,0.86138,0.3531,1.00571,0.000346736,0.000346736,0.000346736
30,111.488,0.93559,0.3862,1.04981,0.99955,1,0.995,0.77338,0.84152,0.34191,0.99755,0.000299584,0.000299584,0.000299584
31,114.568,0.8912,0.36817,1.00838,0.99943,1,0.995,0.7732,0.84432,0.34134,0.99904,0.000252431,0.000252431,0.000252431
32,117.442,0.88025,0.36918,1.02176,0.99926,1,0.995,0.77345,0.84849,0.34423,0.99974,0.000205279,0.000205279,0.000205279
33,120.56,0.8897,0.37448,1.03292,0.9993,1,0.995,0.78186,0.83055,0.33756,0.99149,0.000158127,0.000158127,0.000158127
34,123.533,0.85296,0.3683,1.01798,0.99929,1,0.995,0.78452,0.82294,0.33286,0.98844,0.000110975,0.000110975,0.000110975
35,126.728,0.86641,0.36901,1.03143,0.99926,1,0.995,0.78662,0.82269,0.33125,0.98841,6.38223e-05,6.38223e-05,6.38223e-05
